,States,Years,Quarter,Pincodes,Rergistered_users
233,andaman-&-nicobar-islands,2023,4,744102,11155
234,andaman-&-nicobar-islands,2023,4,744202,5700
235,andaman-&-nicobar-islands,2023,4,744107,4759
236,andaman-&-nicobar-islands,2023,4,744104,4224
237,andaman-&-nicobar-islands,2023,4,744112,3496
238,andaman-&-nicobar-islands,2023,4,744211,3141
239,andaman-&-nicobar-islands,2023,4,744205,2822
240,andaman-&-nicobar-islands,2024,1,744103,21242
241,andaman-&-nicobar-islands,2024,1,744105,18563
242,andaman-&-nicobar-islands,2024,1,744101,17431
243,andaman-&-nicobar-islands,2024,1,744102,11589
244,andaman-&-nicobar-islands,2024,1,744202,5978
245,andaman-&-nicobar-islands,2024,1,744107,5006
246,andaman-&-nicobar-islands,2024,1,744104,4398
247,andaman-&-nicobar-islands,2024,1,744112,3629
248,andaman-&-nicobar-islands,2024,1,744211,3292
249,andaman-&-nicobar-islands,2024,1,744205,2975
250,andhra-pradesh,2018,1,517501,39884
251,andhra-pradesh,2018,1,530016,34201
252,andhra-pradesh,2018,1,517507,34111
253,andhra-pradesh,2018,1,515001,31964
254,andhra-pradesh,2018,1,516001,29078
255,andhra-pradesh,2018,1,518002,29043
256,andhra-pradesh,2018,1,530026,26889
257,andhra-pradesh,2018,1,516360,26187
258,andhra-pradesh,2018,1,520010,24397
259,andhra-pradesh,2018,1,524002,23439
260,andhra-pradesh,2018,2,517501,53468
261,andhra-pradesh,2018,2,517507,45241
262,andhra-pradesh,2018,2,530016,43386
263,andhra-pradesh,2018,2,515001,42466
264,andhra-pradesh,2018,2,516001,38402
265,andhra-pradesh,2018,2,518002,37593
266,andhra-pradesh,2018,2,516360,34544
267,andhra-pradesh,2018,2,530026,34126
268,andhra-pradesh,2018,2,520010,31871
269,andhra-pradesh,2018,2,524002,31134
270,andhra-pradesh,2018,3,517501,65157
271,andhra-pradesh,2018,3,517507,54849
272,andhra-pradesh,2018,3,530016,52259
273,andhra-pradesh,2018,3,515001,51449
274,andhra-pradesh,2018,3,516001,46691
275,andhra-pradesh,2018,3,518002,45145
276,andhra-pradesh,2018,3,516360,41963
277,andhra-pradesh,2018,3,530026,40580
278,andhra-pradesh,2018,3,520010,38918
279,andhra-pradesh,2018,3,524002,37559
280,andhra-pradesh,2018,4,517501,82873
281,andhra-pradesh,2018,4,517507,70421
282,andhra-pradesh,2018,4,530016,65549
283,andhra-pradesh,2018,4,515001,63576
284,andhra-pradesh,2018,4,516001,58028
285,andhra-pradesh,2018,4,518002,55735
286,andhra-pradesh,2018,4,516360,52058
287,andhra-pradesh,2018,4,530026,51900
288,andhra-pradesh,2018,4,520010,48991
289,andhra-pradesh,2018,4,524002,46616
290,andhra-pradesh,2019,1,517501,100561
291,andhra-pradesh,2019,1,517507,85980
292,andhra-pradesh,2019,1,530016,77790
293,andhra-pradesh,2019,1,515001,75171
294,andhra-pradesh,2019,1,516001,68514
295,andhra-pradesh,2019,1,518002,66689
296,andhra-pradesh,2019,1,530026,61623
297,andhra-pradesh,2019,1,516360,60798
298,andhra-pradesh,2019,1,520010,59055
299,andhra-pradesh,2019,1,524002,55931
300,andhra-pradesh,2019,2,517501,113033
301,andhra-pradesh,2019,2,517507,97534
302,andhra-pradesh,2019,2,530016,87556
303,andhra-pradesh,2019,2,515001,84157
304,andhra-pradesh,2019,2,516001,76617
305,andhra-pradesh,2019,2,518002,75952
306,andhra-pradesh,2019,2,530026,68283
307,andhra-pradesh,2019,2,516360,66885
308,andhra-pradesh,2019,2,520010,66082
309,andhra-pradesh,2019,2,524002,62933
310,andhra-pradesh,2019,3,517501,124727
311,andhra-pradesh,2019,3,517507,108199
312,andhra-pradesh,2019,3,530016,97323
313,andhra-pradesh,2019,3,515001,93191
314,andhra-pradesh,2019,3,518002,84918
315,andhra-pradesh,2019,3,516001,84693
316,andhra-pradesh,2019,3,530026,74501
317,andhra-pradesh,2019,3,516360,73267
318,andhra-pradesh,2019,3,520010,72722
319,andhra-pradesh,2019,3,524002,69783
320,andhra-pradesh,2019,4,517501,136436
321,andhra-pradesh,2019,4,517507,119146
322,andhra-pradesh,2019,4,530016,106404
323,andhra-pradesh,2019,4,515001,102848
324,andhra-pradesh,2019,4,516001,94209
325,andhra-pradesh,2019,4,518002,94193
326,andhra-pradesh,2019,4,516360,81619
327,andhra-pradesh,2019,4,530026,81191
328,andhra-pradesh,2019,4,520010,79453
329,andhra-pradesh,2019,4,524002,77681
330,andhra-pradesh,2020,1,517501,146823
331,andhra-pradesh,2020,1,517507,129214
332,andhra-pradesh,2020,1,530016,114042
333,andhra-pradesh,2020,1,515001,111359
334,andhra-pradesh,2020,1,518002,102905
335,andhra-pradesh,2020,1,516001,102893
336,andhra-pradesh,2020,1,516360,89774
337,andhra-pradesh,2020,1,530026,87449
338,andhra-pradesh,2020,1,524002,85878
339,andhra-pradesh,2020,1,520010,85779
340,andhra-pradesh,2020,2,517501,156221
341,andhra-pradesh,2020,2,517507,138735
342,andhra-pradesh,2020,2,530016,120621
343,andhra-pradesh,2020,2,515001,119223
344,andhra-pradesh,2020,2,518002,112673
345,andhra-pradesh,2020,2,516001,111898
346,andhra-pradesh,2020,2,516360,98803
347,andhra-pradesh,2020,2,524002,93834
348,andhra-pradesh,2020,2,530026,93224
349,andhra-pradesh,2020,2,520010,91299
350,andhra-pradesh,2020,3,517501,166768
351,andhra-pradesh,2020,3,517507,149001
352,andhra-pradesh,2020,3,515001,128227
353,andhra-pradesh,2020,3,530016,128059
354,andhra-pradesh,2020,3,518002,121529
355,andhra-pradesh,2020,3,516001,120997
356,andhra-pradesh,2020,3,516360,108073
357,andhra-pradesh,2020,3,524002,102103
358,andhra-pradesh,2020,3,530026,99754
359,andhra-pradesh,2020,3,520010,97752
360,andhra-pradesh,2020,4,517501,178328
361,andhra-pradesh,2020,4,517507,160062
362,andhra-pradesh,2020,4,515001,137945
363,andhra-pradesh,2020,4,530016,136049
364,andhra-pradesh,2020,4,518002,130871
365,andhra-pradesh,2020,4,516001,130500
366,andhra-pradesh,2020,4,516360,117397
367,andhra-pradesh,2020,4,524002,110746
368,andhra-pradesh,2020,4,530026,106320
369,andhra-pradesh,2020,4,520010,104956
370,andhra-pradesh,2021,1,517501,190712
371,andhra-pradesh,2021,1,517507,171417
372,andhra-pradesh,2021,1,515001,147941
373,andhra-pradesh,2021,1,530016,145206
374,andhra-pradesh,2021,1,518002,140153
375,andhra-pradesh,2021,1,516001,139840
376,andhra-pradesh,2021,1,516360,126260
377,andhra-pradesh,2021,1,524002,118730
378,andhra-pradesh,2021,1,530026,113581
379,andhra-pradesh,2021,1,520010,112324
380,andhra-pradesh,2021,2,517501,203005
381,andhra-pradesh,2021,2,517507,182425
382,andhra-pradesh,2021,2,515001,157649
383,andhra-pradesh,2021,2,530016,154509
384,andhra-pradesh,2021,2,518002,149368
385,andhra-pradesh,2021,2,516001,148851
386,andhra-pradesh,2021,2,516360,134622
387,andhra-pradesh,2021,2,524002,126459
388,andhra-pradesh,2021,2,530026,120973
389,andhra-pradesh,2021,2,520010,119561
390,andhra-pradesh,2021,3,517501,216777
391,andhra-pradesh,2021,3,517507,194860
392,andhra-pradesh,2021,3,515001,168654
393,andhra-pradesh,2021,3,530016,164812
394,andhra-pradesh,2021,3,518002,159802
395,andhra-pradesh,2021,3,516001,158891
396,andhra-pradesh,2021,3,516360,144068
397,andhra-pradesh,2021,3,524002,135136
398,andhra-pradesh,2021,3,530026,129270
399,andhra-pradesh,2021,3,520010,127618
400,andhra-pradesh,2021,4,517501,230688
401,andhra-pradesh,2021,4,517507,207174
402,andhra-pradesh,2021,4,515001,179763
403,andhra-pradesh,2021,4,530016,175300
404,andhra-pradesh,2021,4,518002,170267
405,andhra-pradesh,2021,4,516001,169158
406,andhra-pradesh,2021,4,516360,153381
407,andhra-pradesh,2021,4,524002,143764
408,andhra-pradesh,2021,4,530026,137812
409,andhra-pradesh,2021,4,520010,135719
410,andhra-pradesh,2022,1,517501,243791
411,andhra-pradesh,2022,1,517507,218905
412,andhra-pradesh,2022,1,515001,190203
413,andhra-pradesh,2022,1,530016,185094
414,andhra-pradesh,2022,1,518002,180102
415,andhra-pradesh,2022,1,516001,179007
416,andhra-pradesh,2022,1,516360,162263
417,andhra-pradesh,2022,1,524002,151939
418,andhra-pradesh,2022,1,530026,145842
419,andhra-pradesh,2022,1,520010,143308
420,andhra-pradesh,2022,2,517501,256290
421,andhra-pradesh,2022,2,517507,229983
422,andhra-pradesh,2022,2,515001,200266
423,andhra-pradesh,2022,2,530016,194513
424,andhra-pradesh,2022,2,518002,189505
425,andhra-pradesh,2022,2,516001,188295
426,andhra-pradesh,2022,2,516360,170855
427,andhra-pradesh,2022,2,524002,159834
428,andhra-pradesh,2022,2,530026,153586
429,andhra-pradesh,2022,2,520010,150546
430,andhra-pradesh,2022,3,517501,269370
431,andhra-pradesh,2022,3,517507,241720
432,andhra-pradesh,2022,3,515001,210661
433,andhra-pradesh,2022,3,530016,204230
434,andhra-pradesh,2022,3,518002,199354
435,andhra-pradesh,2022,3,516001,197910
436,andhra-pradesh,2022,3,516360,179806
437,andhra-pradesh,2022,3,524002,168015
438,andhra-pradesh,2022,3,530026,161715
439,andhra-pradesh,2022,3,520010,158071
440,andhra-pradesh,2022,4,517501,282766
441,andhra-pradesh,2022,4,517507,253314
442,andhra-pradesh,2022,4,515001,221328
443,andhra-pradesh,2022,4,530016,214155
444,andhra-pradesh,2022,4,518002,209376
445,andhra-pradesh,2022,4,516001,207725
446,andhra-pradesh,2022,4,516360,188768
447,andhra-pradesh,2022,4,524002,176415
448,andhra-pradesh,2022,4,530026,169957
449,andhra-pradesh,2022,4,520010,165734
450,andhra-pradesh,2023,1,517501,295420
451,andhra-pradesh,2023,1,517507,264456
452,andhra-pradesh,2023,1,515001,231542
453,andhra-pradesh,2023,1,530016,223726
454,andhra-pradesh,2023,1,518002,219100
455,andhra-pradesh,2023,1,516001,217104
456,andhra-pradesh,2023,1,516360,197437
457,andhra-pradesh,2023,1,524002,184419
458,andhra-pradesh,2023,1,530026,177985
459,andhra-pradesh,2023,1,520010,173156
460,andhra-pradesh,2023,2,517501,306201
461,andhra-pradesh,2023,2,517507,273955
462,andhra-pradesh,2023,2,515001,240176
463,andhra-pradesh,2023,2,530016,231775
464,andhra-pradesh,2023,2,518002,227292
465,andhra-pradesh,2023,2,516001,225126
466,andhra-pradesh,2023,2,516360,204900
467,andhra-pradesh,2023,2,524002,191332
468,andhra-pradesh,2023,2,530026,184561
469,andhra-pradesh,2023,2,520001,179439
470,andhra-pradesh,2023,3,517501,317981
471,andhra-pradesh,2023,3,517507,284487
472,andhra-pradesh,2023,3,515001,249655
473,andhra-pradesh,2023,3,530016,240480
474,andhra-pradesh,2023,3,518002,236199
475,andhra-pradesh,2023,3,516001,233874
476,andhra-pradesh,2023,3,516360,213165
477,andhra-pradesh,2023,3,524002,198528
478,andhra-pradesh,2023,3,530026,192066
479,andhra-pradesh,2023,3,520001,186511
480,andhra-pradesh,2023,4,517501,328762
481,andhra-pradesh,2023,4,517507,293894
482,andhra-pradesh,2023,4,515001,258235
483,andhra-pradesh,2023,4,530016,248401
484,andhra-pradesh,2023,4,518002,244371
485,andhra-pradesh,2023,4,516001,242054
486,andhra-pradesh,2023,4,516360,220919
487,andhra-pradesh,2023,4,524002,205559
488,andhra-pradesh,2023,4,530026,198977
489,andhra-pradesh,2023,4,520001,192934
490,andhra-pradesh,2024,1,517501,341202
491,andhra-pradesh,2024,1,517507,305041
492,andhra-pradesh,2024,1,515001,268309
493,andhra-pradesh,2024,1,530016,257668
494,andhra-pradesh,2024,1,518002,253903
495,andhra-pradesh,2024,1,516001,251394
496,andhra-pradesh,2024,1,516360,229802
497,andhra-pradesh,2024,1,524002,213525
498,andhra-pradesh,2024,1,530026,206906
499,andhra-pradesh,2024,1,520001,200608
500,arunachal-pradesh,2018,1,791110,2316
501,arunachal-pradesh,2018,1,791111,2203
502,arunachal-pradesh,2018,1,791113,1475
503,arunachal-pradesh,2018,1,791102,1471
504,arunachal-pradesh,2018,1,790104,1139
505,arunachal-pradesh,2018,1,791001,969
506,arunachal-pradesh,2018,1,791109,857
507,arunachal-pradesh,2018,1,792103,829
508,arunachal-pradesh,2018,1,792001,828
509,arunachal-pradesh,2018,1,790116,766
510,arunachal-pradesh,2018,2,791110,3488
511,arunachal-pradesh,2018,2,791111,3272
512,arunachal-pradesh,2018,2,791113,2219
513,arunachal-pradesh,2018,2,791102,2212
514,arunachal-pradesh,2018,2,790104,1698
515,arunachal-pradesh,2018,2,792103,1457
516,arunachal-pradesh,2018,2,791001,1421
517,arunachal-pradesh,2018,2,792001,1315
518,arunachal-pradesh,2018,2,791109,1231
519,arunachal-pradesh,2018,2,790116,1213
520,arunachal-pradesh,2018,3,791110,4872
521,arunachal-pradesh,2018,3,791111,4610
522,arunachal-pradesh,2018,3,791113,3178
523,arunachal-pradesh,2018,3,791102,3077
524,arunachal-pradesh,2018,3,790104,2328
525,arunachal-pradesh,2018,3,792103,2067
526,arunachal-pradesh,2018,3,791001,1907
527,arunachal-pradesh,2018,3,792001,1819
528,arunachal-pradesh,2018,3,790116,1623
529,arunachal-pradesh,2018,3,791109,1612
530,arunachal-pradesh,2018,4,791110,6599
531,arunachal-pradesh,2018,4,791111,6225
532,arunachal-pradesh,2018,4,791113,4115
533,arunachal-pradesh,2018,4,791102,4109
534,arunachal-pradesh,2018,4,790104,3034
535,arunachal-pradesh,2018,4,792103,2741
536,arunachal-pradesh,2018,4,792001,2577
537,arunachal-pradesh,2018,4,791001,2444
538,arunachal-pradesh,2018,4,790116,2206
539,arunachal-pradesh,2018,4,791109,2071
540,arunachal-pradesh,2019,1,791110,8094
541,arunachal-pradesh,2019,1,791111,7673
542,arunachal-pradesh,2019,1,791113,5140
543,arunachal-pradesh,2019,1,791102,5030
544,arunachal-pradesh,2019,1,790104,3751
545,arunachal-pradesh,2019,1,792103,3477
546,arunachal-pradesh,2019,1,792001,3160
547,arunachal-pradesh,2019,1,791001,3103
548,arunachal-pradesh,2019,1,790116,2798
549,arunachal-pradesh,2019,1,791109,2519
550,arunachal-pradesh,2019,2,791110,10055
551,arunachal-pradesh,2019,2,791111,9597
552,arunachal-pradesh,2019,2,791113,6418
553,arunachal-pradesh,2019,2,791102,6283
554,arunachal-pradesh,2019,2,790104,4437
555,arunachal-pradesh,2019,2,792103,4369
556,arunachal-pradesh,2019,2,791001,3960
557,arunachal-pradesh,2019,2,792001,3918
558,arunachal-pradesh,2019,2,790116,3335
559,arunachal-pradesh,2019,2,791109,3151
560,arunachal-pradesh,2019,3,791110,11834
561,arunachal-pradesh,2019,3,791111,11464
562,arunachal-pradesh,2019,3,791113,7593
563,arunachal-pradesh,2019,3,791102,7308
564,arunachal-pradesh,2019,3,792103,5172
565,arunachal-pradesh,2019,3,790104,4964
566,arunachal-pradesh,2019,3,791001,4733
567,arunachal-pradesh,2019,3,792001,4605
568,arunachal-pradesh,2019,3,791109,3715
569,arunachal-pradesh,2019,3,790116,3709
570,arunachal-pradesh,2019,4,791110,13737
571,arunachal-pradesh,2019,4,791111,13109
572,arunachal-pradesh,2019,4,791113,8753
